[Epoch 0] MAE: 0.6662145773809678, Precision: 0.7441258377625303, Recall: 0.8004119850406352, F1-score: 0.7712433196910273
[Epoch 1] MAE: 0.6083712303714826, Precision: 0.7495340348551965, Recall: 0.8049117182093728, F1-score: 0.7762364516899802
[Epoch 2] MAE: 0.587526021698883, Precision: 0.7508681125730572, Recall: 0.8031290483440578, F1-score: 0.7761198126344102
[Epoch 3] MAE: 0.5813989604496596, Precision: 0.7498736360110394, Recall: 0.8046317131919704, F1-score: 0.7762882369371088
[Epoch 4] MAE: 0.5851362850197868, Precision: 0.7442344208176294, Recall: 0.7960939809217481, F1-score: 0.7692912006798736
[Epoch 5] MAE: 0.5927514407054392, Precision: 0.7605618373435226, Recall: 0.8081079427016541, F1-score: 0.7836143329737167
[Epoch 6] MAE: 0.5743123362655098, Precision: 0.7585153144459057, Recall: 0.8109315000952021, F1-score: 0.7838481127105325
[Epoch 7] MAE: 0.5869650448491297, Precision: 0.7449993349580156, Recall: 0.7970571363064131, F1-score: 0.7701495341281743
[Epoch 8] MAE: 0.5547893298410724, Precision: 0.7518056325146553, Recall: 0.8014288053167823, F1-score: 0.7758245313410125
[Epoch 9] MAE: 0.6360172559353213, Precision: 0.7546838605897673, Recall: 0.8080841357080825, F1-score: 0.7804716460309308
[Epoch 10] MAE: 0.5542561887984339, Precision: 0.7562428034696812, Recall: 0.8067473147621821, F1-score: 0.7806790892543372
[Epoch 11] MAE: 0.5758548810931173, Precision: 0.7506544947930839, Recall: 0.8021181288208569, F1-score: 0.7755334806882775
[Epoch 12] MAE: 0.5982394308486872, Precision: 0.7514016879424504, Recall: 0.8065822980484505, F1-score: 0.7780148007524462
[Epoch 13] MAE: 0.5695062697285586, Precision: 0.7494733365912988, Recall: 0.8006783402370342, F1-score: 0.7742301300755721
[Epoch 14] MAE: 0.5963990706845133, Precision: 0.7482953232982232, Recall: 0.8009357328121939, F1-score: 0.7737212093211278
[Epoch 15] MAE: 0.6101095368482391, Precision: 0.7577549636325849, Recall: 0.8085729321630695, F1-score: 0.7823395783860229
[Epoch 16] MAE: 0.5808767073225476, Precision: 0.7475750885958671, Recall: 0.7991979751966707, F1-score: 0.7725250860632048
[Epoch 17] MAE: 0.5577265436903269, Precision: 0.753710424232844, Recall: 0.8063035653228131, F1-score: 0.779120451930063
[Epoch 18] MAE: 0.597327225901083, Precision: 0.7551335133109057, Recall: 0.8085188814348465, F1-score: 0.7809148702968247
[Epoch 19] MAE: 0.5586228874522734, Precision: 0.752412471273933, Recall: 0.8048446433989926, F1-score: 0.7777458730809699
[Epoch 20] MAE: 0.5992747444720817, Precision: 0.7489734033479918, Recall: 0.7994388213642631, F1-score: 0.7733837349636891
[Epoch 21] MAE: 0.5828434765553955, Precision: 0.7529250095169878, Recall: 0.804422346583891, F1-score: 0.7778222380314246
[Epoch 22] MAE: 0.5421693504697673, Precision: 0.7447012723128472, Recall: 0.7945534141128361, F1-score: 0.7688200576921403
[Epoch 23] MAE: 0.5990876081222241, Precision: 0.7534902233520377, Recall: 0.8029822550106089, F1-score: 0.7774493761844685
[Epoch 24] MAE: 0.5443213263371728, Precision: 0.7565436975424882, Recall: 0.8076873626470776, F1-score: 0.7812794405467295
[Epoch 25] MAE: 0.5627860297398328, Precision: 0.7513732804826839, Recall: 0.8016609712833036, F1-score: 0.7757029610172856
[Epoch 26] MAE: 0.5530996904474101, Precision: 0.7529372307012089, Recall: 0.8040545205487485, F1-score: 0.7776567647821435
[Epoch 27] MAE: 0.5891239031136362, Precision: 0.7478553767281263, Recall: 0.8031000579737577, F1-score: 0.7744938158352553
[Epoch 28] MAE: 0.572230155194266, Precision: 0.7551372629732083, Recall: 0.8054919872434222, F1-score: 0.7795022610391497
[Epoch 29] MAE: 0.5731450435337143, Precision: 0.7519519972031838, Recall: 0.8056019733923799, F1-score: 0.7778529980718366
[Epoch 30] MAE: 0.5687043374247154, Precision: 0.7516794055610251, Recall: 0.8043536439227454, F1-score: 0.777124970610722
[Epoch 31] MAE: 0.5638444406904843, Precision: 0.7529551887794174, Recall: 0.805599140931454, F1-score: 0.7783880762797746
[Epoch 32] MAE: 0.5544513186438158, Precision: 0.753263470610286, Recall: 0.8076744960331966, F1-score: 0.7795206561777939
[Epoch 33] MAE: 0.5616368926142952, Precision: 0.7512798926046065, Recall: 0.8034152279478739, F1-score: 0.7764734039367037
[Epoch 34] MAE: 0.5634587095247227, Precision: 0.7527378592204208, Recall: 0.8070718328317519, F1-score: 0.7789585188223771
[Epoch 35] MAE: 0.5663066245599078, Precision: 0.7524716784805704, Recall: 0.8059683218409833, F1-score: 0.7783018092614671
[Epoch 36] MAE: 0.5674211540930079, Precision: 0.7523911971918587, Recall: 0.8058076127619465, F1-score: 0.7781838242967836
[Epoch 37] MAE: 0.5584203425180997, Precision: 0.7511478541206235, Recall: 0.8045899275292069, F1-score: 0.7769509806076871
[Epoch 38] MAE: 0.5752222024954449, Precision: 0.7526403056010584, Recall: 0.8070824198161995, F1-score: 0.7789112118414543
[Epoch 39] MAE: 0.5582041907536583, Precision: 0.7539929336240448, Recall: 0.8080799828847712, F1-score: 0.7801000714613157
[Epoch 40] MAE: 0.572166122930277, Precision: 0.7502679869132941, Recall: 0.803537185796999, F1-score: 0.7759894707343631
[Epoch 41] MAE: 0.5754326964123653, Precision: 0.752441419610889, Recall: 0.8049891171750403, F1-score: 0.7778287888826194
[Epoch 42] MAE: 0.5682117523219307, Precision: 0.7512294624459183, Recall: 0.8040433436538145, F1-score: 0.776739677395916
[Epoch 43] MAE: 0.5703786358587809, Precision: 0.7520466393062538, Recall: 0.8034171737520316, F1-score: 0.7768836284184304
[Epoch 44] MAE: 0.5610438323539686, Precision: 0.7526507432313655, Recall: 0.8049800768810448, F1-score: 0.7779363958749045
[Epoch 45] MAE: 0.5628808629809549, Precision: 0.7521217048392291, Recall: 0.8050366509607573, F1-score: 0.7776801070018361
[Epoch 46] MAE: 0.5722293088686764, Precision: 0.7527654184455844, Recall: 0.805280040536698, F1-score: 0.7781377150271943
[Epoch 47] MAE: 0.5709968084102064, Precision: 0.7526545956749875, Recall: 0.806453662581441, F1-score: 0.7786259255911353
[Epoch 48] MAE: 0.5601253402293495, Precision: 0.7536686412749981, Recall: 0.8067097767827269, F1-score: 0.7792877091031423
[Epoch 49] MAE: 0.5673335760801167, Precision: 0.752222212179144, Recall: 0.8051116740960815, F1-score: 0.7777688392671083
